,LINK
25,https://www.espn.com/mens-college-basketball/team/_/id/120/maryland-terrapins
53,https://www.espn.com/mens-college-basketball/team/_/id/127/michigan-state-spartans
55,https://www.espn.com/mens-college-basketball/team/_/id/156/creighton-bluejays
56,https://www.espn.com/mens-college-basketball/team/_/id/161/fairleigh-dickinson-knights
10,https://www.espn.com/mens-college-basketball/team/_/id/163/princeton-tigers
19,https://www.espn.com/mens-college-basketball/team/_/id/21/san-diego-state-aztecs
62,https://www.espn.com/mens-college-basketball/team/_/id/221/pittsburgh-panthers
50,https://www.espn.com/mens-college-basketball/team/_/id/2226/florida-atlantic-owls
35,https://www.espn.com/mens-college-basketball/team/_/id/2250/gonzaga-bulldogs
43,https://www.espn.com/mens-college-basketball/team/_/id/2306/kansas-state-wildcats
39,https://www.espn.com/mens-college-basketball/team/_/id/239/baylor-bears
45,https://www.espn.com/mens-college-basketball/team/_/id/2390/miami-hurricanes
3,https://www.espn.com/mens-college-basketball/team/_/id/248/houston-cougars
7,https://www.espn.com/mens-college-basketball/team/_/id/251/texas-longhorns
9,https://www.espn.com/mens-college-basketball/team/_/id/26/ucla-bruins
47,https://www.espn.com/mens-college-basketball/team/_/id/2608/saint-marys-gaels
61,https://www.espn.com/mens-college-basketball/team/_/id/2628/tcu-horned-frogs
21,https://www.espn.com/mens-college-basketball/team/_/id/2633/tennessee-volunteers
33,https://www.espn.com/mens-college-basketball/team/_/id/269/marquette-golden-eagles
41,https://www.espn.com/mens-college-basketball/team/_/id/2752/xavier-musketeers
1,https://www.espn.com/mens-college-basketball/team/_/id/333/alabama-crimson-tide
37,https://www.espn.com/mens-college-basketball/team/_/id/41/uconn-huskies
27,https://www.espn.com/mens-college-basketball/team/_/id/8/arkansas-razorbacks
49,https://www.espn.com/mens-college-basketball/team/_/id/84/indiana-hoosiers
59,https://www.espn.com/mens-college-basketball/team/_/id/96/kentucky-wildcats