Team,URL
Case Western,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png
NYU,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png
WashU,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png
Brandeis,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png
Carnegie Mellon,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png
Emory,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png
Rochester,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png
Chicago,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png
UNW-St. Paul,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/unw.png
UW-Eau Claire,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/eauclaire.png
Whitman,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/whitman.png