,Opponent,W/L,Margin,PAINT,PaintPP,POSS,PPP,OPP PPP,FGM/A,FGA,3FG/A,FTM/A,FTA,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
11,vs UChicago,W,19,38,0.519125683060109,73.2,0.93,0.67,24-60,60,4-14,16-21,21,18-65,3-22,10-13,55,28,36.1,89.4,66.3,27.3,14.900000000000000,WashU
12,vs Brandeis,W,30,46,0.602883355176933,76.3,1.17,0.76,34-62,62,10-26,11-17,17,16-59,7-30,20-26,39,27,23.3,88.9,59.100000000000000,22.3,18.100000000000000,WashU
13,vs NYU,W,1,22,0.323529411764706,68.0,0.84,0.81,19-52,52,6-16,13-20,20,18-60,6-24,14-20,38,32,27.3,78.4,54.300000000000000,28.000000000000000,16.0,WashU
14,at CWRU,L,-10,40,0.584795321637427,68.4,0.94,1.1,27-62,62,6-23,4-12,12,24-55,16-32,10-16,40,33,27.500000000000000,87.9,54.800000000000000,21.9,17.8,WashU
15,at Carnegie Mellon,W,3,40,0.568990042674253,70.3,1.09,1.08,30-76,76,7-21,10-12,12,28-70,6-16,12-17,45,47,40.400000000000000,57.8,48.9,15.6,18.9,WashU
16,at Rochester,W,8,38,0.570570570570571,66.6,1.13,1.0,27-57,57,6-21,15-19,19,25-64,14-31,3-6,44,27,32.300000000000000,85.0,62.0,21.0,13.5,WashU
17,at Emory,W,3,24,0.366412213740458,65.5,0.92,0.84,22-62,62,10-25,6-12,12,21-60,7-25,8-11,37,41,26.8,70.3,47.4,18.3,25.0,WashU
18,vs Rochester (NY),W,5,24,0.383386581469649,62.6,1.02,0.9,22-55,55,8-25,12-21,21,22-56,10-26,5-8,33,32,25.0,75.8,50.8,14.400000000000000,25.8,WashU
19,vs Emory,W,17,40,0.584795321637427,68.4,1.14,0.86,30-55,55,7-16,11-12,12,22-58,8-21,9-13,37,20,37.5,84.8,64.9,29.2,21.2,WashU
20,at Brandeis,W,16,42,0.6158357771261,68.2,0.95,0.77,28-64,64,6-21,3-7,7,18-53,6-20,7-10,39,35,34.2,72.2,52.7,24.9,29.800000000000000,WashU
21,at NYU,L,-3,32,0.504731861198738,63.4,0.95,0.98,22-53,53,5-14,11-16,16,25-52,3-12,10-18,31,31,29.4,75.0,50.0,25.2,21.8,WashU
22,vs CWRU,L,-4,44,0.587449933244326,74.9,0.76,0.82,25-56,56,1-11,6-16,16,18-56,8-21,17-23,35,37,20.0,75.7,48.6,29.4,27.0,WashU
23,vs Carnegie Mellon,W,5,50,0.632111251580278,79.1,1.24,1.15,32-66,66,6-25,28-35,35,32-63,7-21,22-26,36,28,39.4,74.2,56.2,17.7,22.2,WashU
24,UAA Total,,90,480,0.533570475767008,69.2,1.01,0.91,342-780,780,82-258,146-220,220,287-771,101-301,147-207,509,418,30.8,78.0,54.9,22.9,21.0,WashU